,record,w,l,t,count,playoff_count,percent
0,'1 - 0 - 0,1,0,0,598,320,53.51170568561873
1,'2 - 0 - 0,2,0,0,315,197,62.53968253968254
2,'2 - 1 - 0,2,1,0,417,226,54.196642685851316
3,'3 - 1 - 0,3,1,0,309,197,63.75404530744336
4,'3 - 2 - 0,3,2,0,334,163,48.80239520958084
5,'3 - 3 - 0,3,3,0,295,103,34.91525423728813
6,'3 - 4 - 0,3,4,0,269,51,18.95910780669145
7,'3 - 5 - 0,3,5,0,228,23,10.087719298245613
8,'4 - 5 - 0,4,5,0,225,36,16.0
9,'4 - 6 - 0,4,6,0,207,21,10.144927536231885
10,'4 - 7 - 0,4,7,0,174,6,3.4482758620689653
11,'4 - 8 - 0,4,8,0,137,2,1.4598540145985401
12,'4 - 9 - 0,4,9,0,121,1,0.8264462809917356
13,'5 - 9 - 0,5,9,0,138,1,0.7246376811594203
14,'5 - 10 - 0,5,10,0,107,0,0.0
15,'5 - 11 - 0,5,11,0,92,0,0.0
16,'0 - 1 - 0,0,1,0,597,145,24.288107202680067
17,'0 - 2 - 0,0,2,0,317,35,11.041009463722396
18,'0 - 3 - 0,0,3,0,182,4,2.197802197802198
19,'0 - 4 - 0,0,4,0,117,1,0.8547008547008548
20,'0 - 5 - 0,0,5,0,77,0,0.0
21,'0 - 6 - 0,0,6,0,48,0,0.0
22,'1 - 6 - 0,1,6,0,105,0,0.0
23,'1 - 7 - 0,1,7,0,76,0,0.0
24,'1 - 8 - 0,1,8,0,57,0,0.0
25,'1 - 9 - 0,1,9,0,38,0,0.0
26,'2 - 9 - 0,2,9,0,83,0,0.0
27,'2 - 10 - 0,2,10,0,67,0,0.0
28,'2 - 11 - 0,2,11,0,50,0,0.0
29,'2 - 12 - 0,2,12,0,46,0,0.0
30,'3 - 12 - 0,3,12,0,53,0,0.0
31,'4 - 12 - 0,4,12,0,88,0,0.0
32,'2 - 8 - 0,2,8,0,99,0,0.0
33,'2 - 13 - 0,2,13,0,34,0,0.0
34,'2 - 14 - 0,2,14,0,29,0,0.0
35,'3 - 0 - 0,3,0,0,183,136,74.31693989071039
36,'4 - 0 - 0,4,0,0,107,90,84.11214953271028
37,'5 - 0 - 0,5,0,0,68,62,91.17647058823529
38,'6 - 0 - 0,6,0,0,47,45,95.74468085106383
39,'7 - 0 - 0,7,0,0,33,33,100.0
40,'8 - 0 - 0,8,0,0,24,24,100.0
41,'9 - 0 - 0,9,0,0,18,18,100.0
42,'10 - 0 - 0,10,0,0,15,15,100.0
43,'11 - 0 - 0,11,0,0,11,11,100.0
44,'12 - 0 - 0,12,0,0,8,8,100.0
45,'12 - 1 - 0,12,1,0,13,13,100.0
46,'13 - 1 - 0,13,1,0,12,12,100.0
47,'14 - 1 - 0,14,1,0,7,7,100.0
48,'15 - 1 - 0,15,1,0,4,4,100.0
49,'1 - 3 - 0,1,3,0,281,35,12.455516014234876
50,'1 - 4 - 0,1,4,0,190,11,5.7894736842105265
51,'2 - 4 - 0,2,4,0,252,25,9.920634920634921
52,'2 - 5 - 0,2,5,0,184,11,5.978260869565218
53,'5 - 5 - 0,5,5,0,194,51,26.288659793814436
54,'5 - 6 - 0,5,6,0,185,28,15.135135135135137
55,'5 - 7 - 0,5,7,0,183,14,7.650273224043716
56,'6 - 7 - 0,6,7,0,160,23,14.374999999999998
57,'7 - 7 - 0,7,7,0,160,34,21.25
58,'7 - 8 - 0,7,8,0,160,12,7.5
59,'7 - 9 - 0,7,9,0,141,4,2.8368794326241136
60,'1 - 1 - 0,1,1,0,563,233,41.3854351687389
61,'1 - 2 - 0,1,2,0,413,99,23.97094430992736
62,'2 - 2 - 0,2,2,0,381,142,37.270341207349084
63,'4 - 2 - 0,4,2,0,272,171,62.86764705882353
64,'4 - 3 - 0,4,3,0,244,118,48.36065573770492
65,'4 - 4 - 0,4,4,0,237,75,31.645569620253166
66,'6 - 6 - 0,6,6,0,171,44,25.730994152046783
67,'7 - 6 - 0,7,6,0,168,60,35.714285714285715
68,'8 - 7 - 0,8,7,0,146,50,34.24657534246575
69,'8 - 8 - 0,8,8,0,133,18,13.533834586466165
70,'4 - 1 - 0,4,1,0,204,157,76.9607843137255
71,'5 - 1 - 0,5,1,0,140,118,84.28571428571429
72,'5 - 2 - 0,5,2,0,230,171,74.34782608695653
73,'6 - 2 - 0,6,2,0,171,142,83.04093567251462
74,'6 - 3 - 0,6,3,0,190,140,73.68421052631578
75,'7 - 3 - 0,7,3,0,166,139,83.73493975903614
76,'7 - 4 - 0,7,4,0,185,134,72.43243243243244
77,'8 - 4 - 0,8,4,0,150,123,82.0
78,'9 - 4 - 0,9,4,0,126,117,92.85714285714286
79,'9 - 5 - 0,9,5,0,131,108,82.44274809160305
80,'10 - 5 - 0,10,5,0,117,110,94.01709401709401
81,'10 - 6 - 0,10,6,0,130,108,83.07692307692308
82,'8 - 3 - 0,8,3,0,123,110,89.43089430894308
83,'11 - 5 - 0,11,5,0,105,102,97.14285714285714
84,'5 - 3 - 0,5,3,0,218,135,61.92660550458715
85,'5 - 4 - 0,5,4,0,218,99,45.412844036697244
86,'6 - 5 - 0,6,5,0,176,72,40.909090909090914
87,'2 - 3 - 0,2,3,0,322,72,22.36024844720497
88,'3 - 6 - 0,3,6,0,177,9,5.084745762711865
89,'6 - 8 - 0,6,8,0,138,8,5.797101449275362
90,'3 - 7 - 0,3,7,0,144,3,2.083333333333333
91,'3 - 8 - 0,3,8,0,112,1,0.8928571428571428
92,'3 - 9 - 0,3,9,0,94,1,1.0638297872340425
93,'3 - 10 - 0,3,10,0,79,0,0.0
94,'3 - 11 - 0,3,11,0,64,0,0.0
95,'4 - 11 - 0,4,11,0,97,0,0.0
96,'6 - 10 - 0,6,10,0,108,0,0.0
97,'7 - 1 - 0,7,1,0,69,64,92.7536231884058
98,'8 - 1 - 0,8,1,0,52,50,96.15384615384616
99,'8 - 2 - 0,8,2,0,91,88,96.7032967032967
100,'9 - 3 - 0,9,3,0,107,103,96.26168224299066
101,'10 - 4 - 0,10,4,0,112,112,100.0
102,'11 - 4 - 0,11,4,0,102,101,99.01960784313727
103,'6 - 4 - 0,6,4,0,190,112,58.94736842105262
104,'12 - 4 - 0,12,4,0,81,81,100.0
105,'8 - 5 - 0,8,5,0,157,105,66.87898089171973
106,'9 - 6 - 0,9,6,0,134,90,67.16417910447761
107,'7 - 2 - 0,7,2,0,122,112,91.80327868852459
108,'5 - 8 - 0,5,8,0,148,3,2.027027027027027
109,'6 - 9 - 0,6,9,0,130,3,2.307692307692308
110,'7 - 5 - 0,7,5,0,163,88,53.987730061349694
111,'8 - 6 - 0,8,6,0,158,76,48.10126582278481
112,'0 - 7 - 0,0,7,0,37,0,0.0
113,'0 - 8 - 0,0,8,0,28,0,0.0
114,'0 - 9 - 0,0,9,0,18,0,0.0
115,'1 - 10 - 0,1,10,0,30,0,0.0
