,date,home-team,vis-team,win-team,lose-team,season,null
9,9/8/85,NEP,GBP,NEP,GBP,1985,0
2,9/8/85,LVR,NYJ,LVR,NYJ,1985,0
3,9/8/85,LAR,DEN,LAR,DEN,1985,0
4,9/8/85,BUF,LAC,LAC,BUF,1985,0
5,9/8/85,NYG,PHL,NYG,PHL,1985,0
6,9/8/85,MIN,SFF,MIN,SFF,1985,0
7,9/8/85,TEN,MIA,TEN,MIA,1985,0
8,9/8/85,NOS,KCC,KCC,NOS,1985,0
14,9/8/85,ATL,DET,DET,ATL,1985,0
10,9/8/85,PIT,IND,PIT,IND,1985,0
11,9/8/85,CLE,ARZ,ARZ,CLE,1985,0
12,9/8/85,CIN,SEA,SEA,CIN,1985,0
13,9/8/85,CHI,TBB,CHI,TBB,1985,0
1,9/9/85,DAL,WSH,DAL,WSH,1985,0
0,9/12/85,KCC,LVR,KCC,LVR,1985,0
57,9/15/85,LAC,SEA,SEA,LAC,1985,0
58,9/15/85,TBB,MIN,MIN,TBB,1985,0
60,9/15/85,DEN,NOS,DEN,NOS,1985,0
61,9/15/85,SFF,ATL,SFF,ATL,1985,0
62,9/15/85,PHL,LAR,LAR,PHL,1985,0
59,9/15/85,GBP,NYG,GBP,NYG,1985,0
64,9/15/85,DET,DAL,DET,DAL,1985,0
65,9/15/85,MIA,IND,MIA,IND,1985,0
66,9/15/85,ARZ,CIN,ARZ,CIN,1985,0
67,9/15/85,CHI,NEP,CHI,NEP,1985,0
68,9/15/85,NYJ,BUF,NYJ,BUF,1985,0
63,9/15/85,WSH,TEN,WSH,TEN,1985,0
56,9/16/85,CLE,PIT,CLE,PIT,1985,0
55,9/19/85,MIN,CHI,CHI,MIN,1985,0
43,9/22/85,LVR,SFF,SFF,LVR,1985,0
44,9/22/85,MIA,KCC,MIA,KCC,1985,0
45,9/22/85,GBP,NYJ,NYJ,GBP,1985,0
46,9/22/85,WSH,PHL,PHL,WSH,1985,0
47,9/22/85,PIT,TEN,PIT,TEN,1985,0
48,9/22/85,NOS,TBB,NOS,TBB,1985,0
49,9/22/85,NYG,ARZ,NYG,ARZ,1985,0
51,9/22/85,DAL,CLE,DAL,CLE,1985,0
52,9/22/85,CIN,LAC,LAC,CIN,1985,0
53,9/22/85,BUF,NEP,NEP,BUF,1985,0
54,9/22/85,ATL,DEN,DEN,ATL,1985,0
50,9/22/85,IND,DET,IND,DET,1985,0
42,9/23/85,SEA,LAR,LAR,SEA,1985,0
36,9/29/85,KCC,SEA,KCC,SEA,1985,0
41,9/29/85,BUF,MIN,MIN,BUF,1985,0
40,9/29/85,CHI,WSH,CHI,WSH,1985,0
39,9/29/85,ARZ,GBP,ARZ,GBP,1985,0
38,9/29/85,TEN,DAL,DAL,TEN,1985,0
37,9/29/85,DET,TBB,DET,TBB,1985,0
35,9/29/85,NEP,LVR,LVR,NEP,1985,0
32,9/29/85,LAC,CLE,CLE,LAC,1985,0
33,9/29/85,LAR,ATL,LAR,ATL,1985,0
34,9/29/85,PHL,NYG,NYG,PHL,1985,0
31,9/29/85,NYJ,IND,NYJ,IND,1985,0
30,9/29/85,DEN,MIA,MIA,DEN,1985,0
29,9/29/85,SFF,NOS,NOS,SFF,1985,0
28,9/30/85,PIT,CIN,CIN,PIT,1985,0
15,10/6/85,NYG,DAL,DAL,NYG,1985,0
16,10/6/85,SEA,LAC,SEA,LAC,1985,0
17,10/6/85,LAR,MIN,LAR,MIN,1985,0
18,10/6/85,LVR,KCC,LVR,KCC,1985,0
19,10/6/85,DEN,TEN,DEN,TEN,1985,0
