,year,team,final_w,final_l,final_t,playoffs
0,1985,ARZ,5,11,0,n
1,1985,ATL,4,12,0,n
2,1985,BAL,0,0,0,n
3,1985,BUF,2,14,0,n
4,1985,CAR,0,0,0,n
5,1985,CHI,18,1,0,y
6,1985,CIN,7,9,0,n
7,1985,CLE,8,9,0,y
8,1985,DAL,10,7,0,y
9,1985,DEN,11,5,0,n
10,1985,DET,7,9,0,n
11,1985,GBP,8,8,0,n
12,1985,HOU,0,0,0,n
13,1985,IND,5,11,0,n
14,1985,JAX,0,0,0,n
15,1985,KCC,6,10,0,n
16,1985,LAC,8,8,0,n
17,1985,LAR,12,6,0,y
18,1985,LVR,12,5,0,y
19,1985,MIA,13,5,0,y
20,1985,MIN,7,9,0,n
21,1985,NYG,11,7,0,y
22,1985,NYJ,11,6,0,y
23,1985,NEP,14,6,0,y
24,1985,NOS,5,11,0,n
25,1985,PHL,7,9,0,n
26,1985,PIT,7,9,0,n
27,1985,SFF,10,7,0,y
28,1985,SEA,8,8,0,n
29,1985,TBB,2,14,0,n
30,1985,TEN,5,11,0,n
31,1985,WSH,10,6,0,n
32,1986,ARZ,4,12,0,n
33,1986,ATL,7,9,0,n
34,1986,BAL,0,0,0,n
35,1986,BUF,4,12,0,n
36,1986,CAR,0,0,0,n
37,1986,CHI,14,3,0,y
38,1986,CIN,10,6,0,n
39,1986,CLE,13,5,0,y
40,1986,DAL,7,9,0,n
41,1986,DEN,13,6,0,y
42,1986,DET,5,11,0,n
43,1986,GBP,4,12,0,n
44,1986,HOU,0,0,0,n
45,1986,IND,3,13,0,n
46,1986,JAX,0,0,0,n
47,1986,KCC,10,7,0,y
48,1986,LAC,4,12,0,n
49,1986,LAR,10,7,0,y
50,1986,LVR,8,8,0,n
51,1986,MIA,8,8,0,n
52,1986,MIN,9,7,0,n
53,1986,NYG,17,2,0,y
54,1986,NYJ,11,7,0,y
55,1986,NEP,11,6,0,y
56,1986,NOS,7,9,0,n
57,1986,PHL,6,10,0,n
58,1986,PIT,6,10,0,n
59,1986,SFF,11,6,0,y
60,1986,SEA,10,6,0,n
61,1986,TBB,2,14,0,n
62,1986,TEN,5,11,0,n
63,1986,WSH,14,5,0,y
64,1987,ARZ,7,8,0,n
65,1987,ATL,3,12,0,n
66,1987,BAL,0,0,0,n
67,1987,BUF,7,8,0,n
68,1987,CAR,0,0,0,n
69,1987,CHI,11,5,0,y
70,1987,CIN,4,11,0,n
71,1987,CLE,11,6,0,y
72,1987,DAL,7,8,0,n
73,1987,DEN,12,6,0,y
74,1987,DET,4,11,0,n
75,1987,GBP,6,9,0,n
76,1987,HOU,0,0,0,n
77,1987,IND,9,7,0,y
78,1987,JAX,0,0,0,n
79,1987,KCC,4,11,0,n
80,1987,LAC,8,7,0,n
81,1987,LAR,6,9,0,n
82,1987,LVR,5,10,0,n
83,1987,MIA,8,7,0,n
84,1987,MIN,10,8,0,y
85,1987,NYG,6,9,0,n
86,1987,NYJ,6,9,0,n
87,1987,NEP,8,7,0,n
88,1987,NOS,12,4,0,y
89,1987,PHL,7,8,0,n
90,1987,PIT,8,7,0,n
91,1987,SFF,13,3,0,y
92,1987,SEA,9,7,0,y
93,1987,TBB,4,11,0,n
94,1987,TEN,10,7,0,y
95,1987,WSH,14,4,0,y
96,1988,ARZ,7,9,0,n
97,1988,ATL,5,11,0,n
98,1988,BAL,0,0,0,n
99,1988,BUF,13,5,0,y
100,1988,CAR,0,0,0,n
101,1988,CHI,13,5,0,y
102,1988,CIN,14,5,0,y
103,1988,CLE,10,7,0,y
104,1988,DAL,3,13,0,n
105,1988,DEN,8,8,0,n
106,1988,DET,4,12,0,n
107,1988,GBP,4,12,0,n
108,1988,HOU,0,0,0,n
109,1988,IND,9,7,0,n
110,1988,JAX,0,0,0,n
111,1988,KCC,4,12,0,n
112,1988,LAC,6,10,0,n
113,1988,LAR,10,7,0,y
114,1988,LVR,7,9,0,n
115,1988,MIA,6,10,0,n
116,1988,MIN,12,6,0,y
117,1988,NYG,10,6,0,n
118,1988,NYJ,9,7,0,n
119,1988,NEP,9,7,0,n
120,1988,NOS,10,6,0,n
121,1988,PHL,10,7,0,y
122,1988,PIT,5,11,0,n
123,1988,SFF,13,6,0,y
124,1988,SEA,9,8,0,y
125,1988,TBB,5,11,0,n
126,1988,TEN,11,7,0,y
127,1988,WSH,7,9,0,n
128,1989,ARZ,5,11,0,n
129,1989,ATL,3,13,0,n
130,1989,BAL,0,0,0,n
131,1989,BUF,9,8,0,y
132,1989,CAR,0,0,0,n
133,1989,CHI,6,10,0,n
134,1989,CIN,8,8,0,n
135,1989,CLE,10,8,0,y
136,1989,DAL,1,15,0,n
137,1989,DEN,13,6,0,y
138,1989,DET,7,9,0,n
139,1989,GBP,10,6,0,n
140,1989,HOU,0,0,0,n
141,1989,IND,8,8,0,n
142,1989,JAX,0,0,0,n
143,1989,KCC,9,7,0,n
144,1989,LAC,6,10,0,n
145,1989,LAR,13,6,0,y
146,1989,LVR,8,8,0,n
147,1989,MIA,8,8,0,n
148,1989,MIN,10,7,0,y
149,1989,NYG,12,5,0,y
150,1989,NYJ,4,12,0,n
151,1989,NEP,5,11,0,n
152,1989,NOS,9,7,0,n
153,1989,PHL,11,6,0,y
154,1989,PIT,10,8,0,y
155,1989,SFF,17,2,0,y
156,1989,SEA,7,9,0,n
157,1989,TBB,5,11,0,n
158,1989,TEN,9,8,0,y
159,1989,WSH,10,6,0,n
160,1990,ARZ,5,11,0,n
161,1990,ATL,5,11,0,n
162,1990,BAL,0,0,0,n
163,1990,BUF,15,4,0,y
164,1990,CAR,0,0,0,n
165,1990,CHI,12,6,0,y
166,1990,CIN,10,8,0,y
167,1990,CLE,3,13,0,n
168,1990,DAL,7,9,0,n
169,1990,DEN,5,11,0,n
170,1990,DET,6,10,0,n
171,1990,GBP,6,10,0,n
172,1990,HOU,0,0,0,n
173,1990,IND,7,9,0,n
174,1990,JAX,0,0,0,n
175,1990,KCC,11,6,0,y
176,1990,LAC,6,10,0,n
177,1990,LAR,5,11,0,n
178,1990,LVR,13,5,0,y
