,year,team,game,w,l,t,record_str
0,1985,ARZ,0,1,0,0,'1 - 0 - 0
1,1985,ARZ,1,2,0,0,'2 - 0 - 0
2,1985,ARZ,2,2,1,0,'2 - 1 - 0
3,1985,ARZ,3,3,1,0,'3 - 1 - 0
4,1985,ARZ,4,3,2,0,'3 - 2 - 0
5,1985,ARZ,5,3,3,0,'3 - 3 - 0
6,1985,ARZ,6,3,4,0,'3 - 4 - 0
7,1985,ARZ,7,3,5,0,'3 - 5 - 0
8,1985,ARZ,8,4,5,0,'4 - 5 - 0
9,1985,ARZ,9,4,6,0,'4 - 6 - 0
10,1985,ARZ,10,4,7,0,'4 - 7 - 0
11,1985,ARZ,11,4,8,0,'4 - 8 - 0
12,1985,ARZ,12,4,9,0,'4 - 9 - 0
13,1985,ARZ,13,5,9,0,'5 - 9 - 0
14,1985,ARZ,14,5,10,0,'5 - 10 - 0
15,1985,ARZ,15,5,11,0,'5 - 11 - 0
16,1985,ATL,0,0,1,0,'0 - 1 - 0
17,1985,ATL,1,0,2,0,'0 - 2 - 0
18,1985,ATL,2,0,3,0,'0 - 3 - 0
19,1985,ATL,3,0,4,0,'0 - 4 - 0
20,1985,ATL,4,0,5,0,'0 - 5 - 0
21,1985,ATL,5,0,6,0,'0 - 6 - 0
22,1985,ATL,6,1,6,0,'1 - 6 - 0
23,1985,ATL,7,1,7,0,'1 - 7 - 0
24,1985,ATL,8,1,8,0,'1 - 8 - 0
25,1985,ATL,9,1,9,0,'1 - 9 - 0
26,1985,ATL,10,2,9,0,'2 - 9 - 0
27,1985,ATL,11,2,10,0,'2 - 10 - 0
28,1985,ATL,12,2,11,0,'2 - 11 - 0
29,1985,ATL,13,2,12,0,'2 - 12 - 0
30,1985,ATL,14,3,12,0,'3 - 12 - 0
31,1985,ATL,15,4,12,0,'4 - 12 - 0
32,1985,BUF,0,0,1,0,'0 - 1 - 0
33,1985,BUF,1,0,2,0,'0 - 2 - 0
34,1985,BUF,2,0,3,0,'0 - 3 - 0
35,1985,BUF,3,0,4,0,'0 - 4 - 0
36,1985,BUF,4,0,5,0,'0 - 5 - 0
37,1985,BUF,5,0,6,0,'0 - 6 - 0
38,1985,BUF,6,1,6,0,'1 - 6 - 0
